seed,seat,candidate_money,opponent_money,margin,result,candidate_status,opponent_status,game_done,wall_seconds,action_calls,agent_errors,invalid_action_shapes,runtime_p50_ms,runtime_p95_ms,runtime_p99_ms,runtime_max_ms,field_counts,market_counts,market_quantities,replay,variant,source,overlay_price_shocks,overlay_price_shocks_MILK,overlay_delayed_units,overlay_delayed_MILK,overlay_changed_market_actions,overlay_recoveries,overlay_recoveries_MILK,overlay_released_units,overlay_released_MILK,overlay_price_shocks_STRAWBERRY,overlay_delayed_STRAWBERRY,overlay_recoveries_STRAWBERRY,overlay_released_STRAWBERRY,overlay_terminal_flush_units,overlay_terminal_flush_MELON,overlay_terminal_flush_STRAWBERRY,overlay_terminal_flush_MILK,overlay_terminal_flush_WOOL,overlay_pending_MELON,overlay_pending_STRAWBERRY,overlay_pending_MILK,overlay_pending_WOOL,overlay_last_step,overlay_field_changed,overlay_nonpremium_changed,overlay_price_shocks_WOOL,overlay_recoveries_WOOL,overlay_delayed_WOOL,overlay_released_WOOL
463865208,0,129047.0,133283.0,-4236.0,loss,DONE,DONE,1,2.887585415999638,719,0,21,0.008667,0.05176190000000002,0.06866300000000002,0.286333,"{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 967, ""BUY_SEED:MELON"": 21, ""BUY_SEED:STRAWBERRY"": 44, ""BUY_SEED:WHEAT"": 66, ""SELL:CARROT"": 13, ""SELL:EGG"": 8, ""SELL:FERTILIZER"": 445, ""SELL:MELON"": 224, ""SELL:MILK"": 682, ""SELL:STRAWBERRY"": 636, ""SELL:TOMATO"": 4, ""SELL:WHEAT"": 1108, ""SELL:WOOL"": 373}",89928050,control,/Users/guoziming/Desktop/比赛/Kaggriculture/baseline/history/v012_top5_replaced_v18/log/89928050.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463865208,0,129252.0,132952.0,-3700.0,loss,DONE,DONE,1,2.8909259169959114,719,0,21,0.021791,0.06365810000000002,0.09119856000000007,0.206333,"{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 484}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 967, ""BUY_SEED:MELON"": 21, ""BUY_SEED:STRAWBERRY"": 44, ""BUY_SEED:WHEAT"": 66, ""SELL:CARROT"": 13, ""SELL:EGG"": 8, ""SELL:FERTILIZER"": 445, ""SELL:MELON"": 236, ""SELL:MILK"": 691, ""SELL:STRAWBERRY"": 635, ""SELL:TOMATO"": 4, ""SELL:WHEAT"": 1108, ""SELL:WOOL"": 394}",89928050,default,/Users/guoziming/Desktop/比赛/Kaggriculture/baseline/history/v012_top5_replaced_v18/log/89928050.json,22,8,10,5,20,13,6,9,5,14,5,7,4,55,12,13,9,21,0,0,0,0,718,0,0,,,,
463865208,0,129047.0,133283.0,-4236.0,loss,DONE,DONE,1,2.855077291998896,719,0,21,0.008459,0.0456039,0.06962238000000004,0.186958,"{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 967, ""BUY_SEED:MELON"": 21, ""BUY_SEED:STRAWBERRY"": 44, ""BUY_SEED:WHEAT"": 66, ""SELL:CARROT"": 13, ""SELL:EGG"": 8, ""SELL:FERTILIZER"": 445, ""SELL:MELON"": 224, ""SELL:MILK"": 682, ""SELL:STRAWBERRY"": 636, ""SELL:TOMATO"": 4, ""SELL:WHEAT"": 1108, ""SELL:WOOL"": 373}",89928050,control,/Users/guoziming/Desktop/比赛/Kaggriculture/baseline/history/v012_top5_replaced_v18/log/89928050.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463865208,0,129264.0,132945.0,-3681.0,loss,DONE,DONE,1,2.855028875004791,719,0,21,0.021542,0.06470000000000002,0.08797244000000007,0.198958,"{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 484}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 967, ""BUY_SEED:MELON"": 21, ""BUY_SEED:STRAWBERRY"": 44, ""BUY_SEED:WHEAT"": 66, ""SELL:CARROT"": 13, ""SELL:EGG"": 8, ""SELL:FERTILIZER"": 445, ""SELL:MELON"": 236, ""SELL:MILK"": 690, ""SELL:STRAWBERRY"": 635, ""SELL:TOMATO"": 4, ""SELL:WHEAT"": 1108, ""SELL:WOOL"": 394}",89928050,sensitive,/Users/guoziming/Desktop/比赛/Kaggriculture/baseline/history/v012_top5_replaced_v18/log/89928050.json,31,15,14,9,27,19,10,12,8,16,5,9,4,55,12,13,9,21,0,0,0,0,718,0,0,,,,
463865208,0,129047.0,133283.0,-4236.0,loss,DONE,DONE,1,2.9434383749976405,719,0,21,0.008541,0.04543300000000008,0.06861006000000001,0.209375,"{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 967, ""BUY_SEED:MELON"": 21, ""BUY_SEED:STRAWBERRY"": 44, ""BUY_SEED:WHEAT"": 66, ""SELL:CARROT"": 13, ""SELL:EGG"": 8, ""SELL:FERTILIZER"": 445, ""SELL:MELON"": 224, ""SELL:MILK"": 682, ""SELL:STRAWBERRY"": 636, ""SELL:TOMATO"": 4, ""SELL:WHEAT"": 1108, ""SELL:WOOL"": 373}",89928050,control,/Users/guoziming/Desktop/比赛/Kaggriculture/baseline/history/v012_top5_replaced_v18/log/89928050.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463865208,0,129252.0,132952.0,-3700.0,loss,DONE,DONE,1,2.8905848750000587,719,0,21,0.021917,0.0655209,0.08810762000000004,0.21225,"{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 484}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 967, ""BUY_SEED:MELON"": 21, ""BUY_SEED:STRAWBERRY"": 44, ""BUY_SEED:WHEAT"": 66, ""SELL:CARROT"": 13, ""SELL:EGG"": 8, ""SELL:FERTILIZER"": 445, ""SELL:MELON"": 236, ""SELL:MILK"": 691, ""SELL:STRAWBERRY"": 635, ""SELL:TOMATO"": 4, ""SELL:WHEAT"": 1108, ""SELL:WOOL"": 394}",89928050,conservative,/Users/guoziming/Desktop/比赛/Kaggriculture/baseline/history/v012_top5_replaced_v18/log/89928050.json,17,6,8,4,16,10,5,7,4,11,4,5,3,55,12,13,9,21,0,0,0,0,718,0,0,,,,
1455557852,0,127954.0,136419.0,-8465.0,loss,DONE,DONE,1,2.9285986659961054,719,0,21,0.008542,0.04585860000000001,0.07000138000000002,0.207333,"{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 967, ""BUY_SEED:MELON"": 21, ""BUY_SEED:STRAWBERRY"": 44, ""BUY_SEED:WHEAT"": 66, ""SELL:CARROT"": 13, ""SELL:EGG"": 8, ""SELL:FERTILIZER"": 445, ""SELL:MELON"": 224, ""SELL:MILK"": 682, ""SELL:STRAWBERRY"": 636, ""SELL:TOMATO"": 4, ""SELL:WHEAT"": 1108, ""SELL:WOOL"": 373}",89935005,control,/Users/guoziming/Desktop/比赛/Kaggriculture/baseline/history/v012_top5_replaced_v18/log/89935005.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1455557852,0,128023.0,136277.0,-8254.0,loss,DONE,DONE,1,2.9474659170009545,719,0,21,0.021375,0.06668750000000002,0.14104750000000318,0.292875,"{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 484}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 967, ""BUY_SEED:MELON"": 21, ""BUY_SEED:STRAWBERRY"": 44, ""BUY_SEED:WHEAT"": 66, ""SELL:CARROT"": 13, ""SELL:EGG"": 8, ""SELL:FERTILIZER"": 445, ""SELL:MELON"": 236, ""SELL:MILK"": 691, ""SELL:STRAWBERRY"": 634, ""SELL:TOMATO"": 4, ""SELL:WHEAT"": 1108, ""SELL:WOOL"": 390}",89935005,default,/Users/guoziming/Desktop/比赛/Kaggriculture/baseline/history/v012_top5_replaced_v18/log/89935005.json,20,3,7,1,14,10,2,6,1,17,6,8,5,50,12,12,9,17,0,0,0,0,718,0,0,,,,
1455557852,0,127954.0,136419.0,-8465.0,loss,DONE,DONE,1,2.8701237499990384,719,0,21,0.008584,0.0462961,0.06944362000000003,0.196,"{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 481}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 967, ""BUY_SEED:MELON"": 21, ""BUY_SEED:STRAWBERRY"": 44, ""BUY_SEED:WHEAT"": 66, ""SELL:CARROT"": 13, ""SELL:EGG"": 8, ""SELL:FERTILIZER"": 445, ""SELL:MELON"": 224, ""SELL:MILK"": 682, ""SELL:STRAWBERRY"": 636, ""SELL:TOMATO"": 4, ""SELL:WHEAT"": 1108, ""SELL:WOOL"": 373}",89935005,control,/Users/guoziming/Desktop/比赛/Kaggriculture/baseline/history/v012_top5_replaced_v18/log/89935005.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1455557852,0,128049.0,136262.0,-8213.0,loss,DONE,DONE,1,2.8784310839982936,719,0,21,0.021875,0.06436640000000002,0.08702006000000002,0.257708,"{""BUILD_PASTURE"": 14, ""CARE"": 308, ""COLLECT_FERTILIZER"": 318, ""DIG"": 25, ""DROP"": 80, ""EAST"": 857, ""FEED"": 319, ""FERTILIZE"": 107, ""HARVEST"": 338, ""NORTH"": 1236, ""PASS"": 377, ""PICKUP"": 339, ""PLACE"": 27, ""PLANT"": 131, ""SOUTH"": 929, ""WATER"": 851, ""WEST"": 1098}","{""BUY_ANIMAL"": 14, ""BUY_LAND"": 2, ""BUY_PRODUCT"": 279, ""BUY_SEED"": 54, ""HIRE"": 306, ""SELL"": 484}","{""BUY_ANIMAL:COW"": 8, ""BUY_ANIMAL:SHEEP"": 6, ""BUY_PRODUCT:WHEAT"": 967, ""BUY_SEED:MELON"": 21, ""BUY_SEED:STRAWBERRY"": 44, ""BUY_SEED:WHEAT"": 66, ""SELL:CARROT"": 13, ""SELL:EGG"": 8, ""SELL:FERTILIZER"": 445, ""SELL:MELON"": 236, ""SELL:MILK"": 690, ""SELL:STRAWBERRY"": 633, ""SELL:TOMATO"": 4, ""SELL:WHEAT"": 1108, ""SELL:WOOL"": 390}",89935005,sensitive,/Users/guoziming/Desktop/比赛/Kaggriculture/baseline/history/v012_top5_replaced_v18/log/89935005.json,26,7,12,5,22,13,5,9,4,19,7,8,5,50,12,12,9,17,0,0,0,0,718,0,0,,,,
